Omega: center=[0,0],radius=.2fA=0.5,chiN=25.0
h=0.2,tau=5.0e-02,tol=1.0e-06
iteration 1: sQ=9.659947787933e-01, Energy = -9.596570531962e-03, ediff = -Inf, err1 = 1.104015e-01, err2 = 3.911837e-02
iteration 2: sQ=9.619237152025e-01, Energy = -5.594847253393e-03, ediff = 4.001723e-03, err1 = 4.608438e-02, err2 = 4.107383e-02
iteration 3: sQ=9.605548210929e-01, Energy = -4.198488748336e-03, ediff = 1.396359e-03, err1 = 2.410653e-02, err2 = 5.107609e-02
iteration 4: sQ=9.608506539948e-01, Energy = -4.389756262723e-03, ediff = -1.912675e-04, err1 = 2.011593e-02, err2 = 6.371984e-02
iteration 5: sQ=9.627150738304e-01, Energy = -6.038594663875e-03, ediff = -1.648838e-03, err1 = 1.625138e-02, err2 = 8.033417e-02
iteration 6: sQ=9.666981653359e-01, Energy = -9.635892740252e-03, ediff = -3.597298e-03, err1 = 1.241079e-02, err2 = 1.026090e-01
iteration 7: sQ=9.739445028885e-01, Energy = -1.620624790950e-02, ediff = -6.570355e-03, err1 = 1.324153e-02, err2 = 1.350068e-01
iteration 8: sQ=9.864988650001e-01, Energy = -2.754306256006e-02, ediff = -1.133681e-02, err1 = 2.042167e-02, err2 = 1.767436e-01
iteration 9: sQ=1.007909487934e+00, Energy = -4.663429413961e-02, ediff = -1.909123e-02, err1 = 3.214369e-02, err2 = 2.301822e-01
iteration 10: sQ=1.044299445058e+00, Energy = -7.828209694603e-02, ediff = -3.164780e-02, err1 = 5.469167e-02, err2 = 2.978320e-01
iteration 11: sQ=1.106276837791e+00, Energy = -1.298668942946e-01, ediff = -5.158480e-02, err1 = 9.170225e-02, err2 = 3.818027e-01
iteration 12: sQ=1.212365760143e+00, Energy = -2.119595904903e-01, ediff = -8.209270e-02, err1 = 1.488404e-01, err2 = 4.825713e-01
iteration 13: sQ=1.395119387879e+00, Energy = -3.379715545769e-01, ediff = -1.260120e-01, err1 = 2.321907e-01, err2 = 5.966847e-01
iteration 14: sQ=1.711391444742e+00, Energy = -5.214238285806e-01, ediff = -1.834523e-01, err1 = 3.433810e-01, err2 = 7.134464e-01
iteration 15: sQ=2.256650324706e+00, Energy = -7.697906648852e-01, ediff = -2.483668e-01, err1 = 4.729813e-01, err2 = 8.122187e-01
iteration 16: sQ=3.175053857008e+00, Energy = -1.076913845780e+00, ediff = -3.071232e-01, err1 = 5.962087e-01, err2 = 8.642821e-01
